"","Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","ID","F_OOB","F_OOS"
"50","GCW","W",2022-06-01 12:15:00,"CS EE181",NA,NA,NA,32.82,"wx_tempavg15","a85dd8eb2896f81f",0,0
"51","GCW","W",2022-06-01 12:30:00,"CS EE181",NA,NA,NA,32.63,"wx_tempavg15","c7c9a17f81bc2a8a",0,0
"52","GCW","W",2022-06-01 12:45:00,"CS EE181",NA,NA,NA,32.29,"wx_tempavg15","32f0e9e18c4f7e63",0,0
"53","GCW","W",2022-06-01 13:00:00,"CS EE181",NA,NA,NA,32.46,"wx_tempavg15","196bcc02247c97d9",0,0
"54","GCW","W",2022-06-01 13:15:00,"CS EE181",NA,NA,NA,32.42,"wx_tempavg15","4fc8a227c4c22c18",0,0
"55","GCW","W",2022-06-01 13:30:00,"CS EE181",NA,NA,NA,33.1,"wx_tempavg15","75de7e9be91a582c",0,0
"56","GCW","W",2022-06-01 13:45:00,"CS EE181",NA,NA,NA,33.25,"wx_tempavg15","4e6ee40ac61a69b8",0,0
"57","GCW","W",2022-06-01 14:00:00,"CS EE181",NA,NA,NA,33.42,"wx_tempavg15","0fd9f3dd74f46f17",0,0
"58","GCW","W",2022-06-01 14:15:00,"CS EE181",NA,NA,NA,33.27,"wx_tempavg15","8e9a6d87f3479bab",0,0
"59","GCW","W",2022-06-01 14:30:00,"CS EE181",NA,NA,NA,32.93,"wx_tempavg15","580bf700983d4915",0,0
"60","GCW","W",2022-06-01 14:45:00,"CS EE181",NA,NA,NA,32.39,"wx_tempavg15","fbdba68c971acaff",0,0
"61","GCW","W",2022-06-01 15:00:00,"CS EE181",NA,NA,NA,32.5,"wx_tempavg15","841d534730bd8298",0,0
"62","GCW","W",2022-06-01 15:15:00,"CS EE181",NA,NA,NA,32.28,"wx_tempavg15","c970e88396594b71",0,0
"63","GCW","W",2022-06-01 15:30:00,"CS EE181",NA,NA,NA,32.48,"wx_tempavg15","6481baefa8e9a8ad",0,0
"64","GCW","W",2022-06-01 15:45:00,"CS EE181",NA,NA,NA,31.81,"wx_tempavg15","ef0ad7cf013d44a6",0,0
"65","GCW","W",2022-06-01 16:00:00,"CS EE181",NA,NA,NA,32.03,"wx_tempavg15","0dd985014084da06",0,0
"66","GCW","W",2022-06-01 16:15:00,"CS EE181",NA,NA,NA,32.36,"wx_tempavg15","807139106dd88ac7",0,0
"67","GCW","W",2022-06-01 16:30:00,"CS EE181",NA,NA,NA,31.69,"wx_tempavg15","38c73ef04c51129b",0,0
"68","GCW","W",2022-06-01 16:45:00,"CS EE181",NA,NA,NA,31.51,"wx_tempavg15","0438f9b1d73240d7",0,0
"69","GCW","W",2022-06-01 17:00:00,"CS EE181",NA,NA,NA,31.06,"wx_tempavg15","9d5d9c5c6b14f0b6",0,0
"70","GCW","W",2022-06-01 17:15:00,"CS EE181",NA,NA,NA,30.59,"wx_tempavg15","d90ce1d6934d540f",0,0
"71","GCW","W",2022-06-01 17:30:00,"CS EE181",NA,NA,NA,30.17,"wx_tempavg15","49640cc949044cb8",0,0
"72","GCW","W",2022-06-01 17:45:00,"CS EE181",NA,NA,NA,29.46,"wx_tempavg15","fbde39ed305ee31f",0,0
"73","GCW","W",2022-06-01 18:00:00,"CS EE181",NA,NA,NA,28.8,"wx_tempavg15","a510bd72939b62da",0,0
"74","GCW","W",2022-06-01 18:15:00,"CS EE181",NA,NA,NA,28.58,"wx_tempavg15","2f6be710e651dfb3",0,0
"75","GCW","W",2022-06-01 18:30:00,"CS EE181",NA,NA,NA,28.5,"wx_tempavg15","300088f408996114",0,0
"76","GCW","W",2022-06-01 18:45:00,"CS EE181",NA,NA,NA,27.86,"wx_tempavg15","83d9bb5461a67716",0,0
"77","GCW","W",2022-06-01 19:00:00,"CS EE181",NA,NA,NA,27.26,"wx_tempavg15","63b0a0339d407a65",0,0
"78","GCW","W",2022-06-01 19:15:00,"CS EE181",NA,NA,NA,26.67,"wx_tempavg15","2d9eb6532f9faf8c",0,0
"79","GCW","W",2022-06-01 19:30:00,"CS EE181",NA,NA,NA,26.22,"wx_tempavg15","aa9815036253970d",0,0
"80","GCW","W",2022-06-01 19:45:00,"CS EE181",NA,NA,NA,25.84,"wx_tempavg15","d8982cbbb6b8d353",0,0
"81","GCW","W",2022-06-01 20:00:00,"CS EE181",NA,NA,NA,25.49,"wx_tempavg15","40da143c609c5f3e",0,0
"82","GCW","W",2022-06-01 20:15:00,"CS EE181",NA,NA,NA,25.2,"wx_tempavg15","228ed3956eb85e31",0,0
"83","GCW","W",2022-06-01 20:30:00,"CS EE181",NA,NA,NA,24.94,"wx_tempavg15","38131b2185dd717f",0,0
"84","GCW","W",2022-06-01 20:45:00,"CS EE181",NA,NA,NA,24.84,"wx_tempavg15","ba75072a920cee80",0,0
"85","GCW","W",2022-06-01 21:00:00,"CS EE181",NA,NA,NA,24.58,"wx_tempavg15","00dc7e692130ef66",0,0
"86","GCW","W",2022-06-01 21:15:00,"CS EE181",NA,NA,NA,24.38,"wx_tempavg15","90f6cb570fd037c3",0,0
"87","GCW","W",2022-06-01 21:30:00,"CS EE181",NA,NA,NA,24.21,"wx_tempavg15","d0cc8dc0a9a79867",0,0
"88","GCW","W",2022-06-01 21:45:00,"CS EE181",NA,NA,NA,24.03,"wx_tempavg15","4417ab8a36eed927",0,0
"89","GCW","W",2022-06-01 22:00:00,"CS EE181",NA,NA,NA,23.88,"wx_tempavg15","4dee3d1bad54adb5",0,0
"90","GCW","W",2022-06-01 22:15:00,"CS EE181",NA,NA,NA,23.59,"wx_tempavg15","e179f382f9c67f74",0,0
"91","GCW","W",2022-06-01 22:30:00,"CS EE181",NA,NA,NA,23.4,"wx_tempavg15","6ab394e89936c7e8",0,0
"92","GCW","W",2022-06-01 22:45:00,"CS EE181",NA,NA,NA,23.41,"wx_tempavg15","b38e63fd6ebcae5f",0,0
"93","GCW","W",2022-06-01 23:00:00,"CS EE181",NA,NA,NA,23.38,"wx_tempavg15","c17d494ecdd3bc15",0,0
"94","GCW","W",2022-06-01 23:15:00,"CS EE181",NA,NA,NA,23.27,"wx_tempavg15","b074c8af67b6f232",0,0
"95","GCW","W",2022-06-01 23:30:00,"CS EE181",NA,NA,NA,23.13,"wx_tempavg15","443bdaab0cd0c704",0,0
"96","GCW","W",2022-06-01 23:45:00,"CS EE181",NA,NA,NA,22.96,"wx_tempavg15","ea62a7fb7c379300",0,0
"97","GCW","W",2022-06-02,"CS EE181",NA,NA,NA,22.86,"wx_tempavg15","afe0aba3df1fc4bf",0,0
"98","GCW","W",2022-06-02 00:15:00,"CS EE181",NA,NA,NA,22.76,"wx_tempavg15","cf2c361802236c50",0,0
"99","GCW","W",2022-06-02 00:30:00,"CS EE181",NA,NA,NA,22.76,"wx_tempavg15","d2ee36176d13d67d",0,0
"100","GCW","W",2022-06-02 00:45:00,"CS EE181",NA,NA,NA,22.65,"wx_tempavg15","5b9f9b02e7564ea4",0,0
"101","GCW","W",2022-06-02 01:00:00,"CS EE181",NA,NA,NA,22.74,"wx_tempavg15","298afb8270e04bc8",0,0
"102","GCW","W",2022-06-02 01:15:00,"CS EE181",NA,NA,NA,23.23,"wx_tempavg15","487500c329c10024",0,0
"103","GCW","W",2022-06-02 01:30:00,"CS EE181",NA,NA,NA,23.13,"wx_tempavg15","d6e47035feb41588",0,0
"104","GCW","W",2022-06-02 01:45:00,"CS EE181",NA,NA,NA,22.42,"wx_tempavg15","5ea5af1e2fccaf33",0,0
"105","GCW","W",2022-06-02 02:00:00,"CS EE181",NA,NA,NA,22.23,"wx_tempavg15","7b3574443a21111e",0,0
"106","GCW","W",2022-06-02 02:15:00,"CS EE181",NA,NA,NA,22.07,"wx_tempavg15","515f1d8c83499e79",0,0
"107","GCW","W",2022-06-02 02:30:00,"CS EE181",NA,NA,NA,22.1,"wx_tempavg15","e4fd4321a6a3e858",0,0
"108","GCW","W",2022-06-02 02:45:00,"CS EE181",NA,NA,NA,22.27,"wx_tempavg15","c9123d379748e923",0,0
"109","GCW","W",2022-06-02 03:00:00,"CS EE181",NA,NA,NA,21.67,"wx_tempavg15","b2c89cd2ec764d86",0,0
"110","GCW","W",2022-06-02 03:15:00,"CS EE181",NA,NA,NA,21.4,"wx_tempavg15","ed456d913500525e",0,0
"111","GCW","W",2022-06-02 03:30:00,"CS EE181",NA,NA,NA,21.14,"wx_tempavg15","e816be4d4554f549",0,0
"112","GCW","W",2022-06-02 03:45:00,"CS EE181",NA,NA,NA,21.02,"wx_tempavg15","c9a83126049b72bf",0,0
"113","GCW","W",2022-06-02 04:00:00,"CS EE181",NA,NA,NA,20.91,"wx_tempavg15","c2dec15cef7982fa",0,0
"114","GCW","W",2022-06-02 04:15:00,"CS EE181",NA,NA,NA,20.96,"wx_tempavg15","a1fd5f738fcc8bc1",0,0
"115","GCW","W",2022-06-02 04:30:00,"CS EE181",NA,NA,NA,20.89,"wx_tempavg15","ff64f7fdc4a92d06",0,0
"116","GCW","W",2022-06-02 04:45:00,"CS EE181",NA,NA,NA,20.78,"wx_tempavg15","f4391b6d67529509",0,0
"117","GCW","W",2022-06-02 05:00:00,"CS EE181",NA,NA,NA,20.86,"wx_tempavg15","d22d533d145cf1e8",0,0
"118","GCW","W",2022-06-02 05:15:00,"CS EE181",NA,NA,NA,20.9,"wx_tempavg15","079b9e31a8bfbb72",0,0
"119","GCW","W",2022-06-02 05:30:00,"CS EE181",NA,NA,NA,20.94,"wx_tempavg15","8a69e4ec5645749e",0,0
"120","GCW","W",2022-06-02 05:45:00,"CS EE181",NA,NA,NA,21.01,"wx_tempavg15","6eb17568aa347ea3",0,0
"121","GCW","W",2022-06-02 06:00:00,"CS EE181",NA,NA,NA,21.12,"wx_tempavg15","464acdc1d862a0b3",0,0
"122","GCW","W",2022-06-02 06:15:00,"CS EE181",NA,NA,NA,21.16,"wx_tempavg15","b644fa74068ab71f",0,0
"123","GCW","W",2022-06-02 06:30:00,"CS EE181",NA,NA,NA,21.19,"wx_tempavg15","c45754aaa1a1f014",0,0
"124","GCW","W",2022-06-02 06:45:00,"CS EE181",NA,NA,NA,21.26,"wx_tempavg15","a62283e469bb3d0a",0,0
"125","GCW","W",2022-06-02 07:00:00,"CS EE181",NA,NA,NA,21.4,"wx_tempavg15","aeb37a8e43b01c94",0,0
"126","GCW","W",2022-06-02 07:15:00,"CS EE181",NA,NA,NA,21.33,"wx_tempavg15","7cb31a5cecff7cbd",0,0
"127","GCW","W",2022-06-02 07:30:00,"CS EE181",NA,NA,NA,21.48,"wx_tempavg15","f4bdf2d54e849c56",0,0
"128","GCW","W",2022-06-02 07:45:00,"CS EE181",NA,NA,NA,21.67,"wx_tempavg15","380f16f0511a27e0",0,0
"129","GCW","W",2022-06-02 08:00:00,"CS EE181",NA,NA,NA,21.84,"wx_tempavg15","ccdde1e084b1a734",0,0
"130","GCW","W",2022-06-02 08:15:00,"CS EE181",NA,NA,NA,21.86,"wx_tempavg15","5d7dca1068643ea7",0,0
"131","GCW","W",2022-06-02 08:30:00,"CS EE181",NA,NA,NA,22.13,"wx_tempavg15","564d66dc4e94a56c",0,0
"132","GCW","W",2022-06-02 08:45:00,"CS EE181",NA,NA,NA,22.62,"wx_tempavg15","41b1cce61160cc79",0,0
"133","GCW","W",2022-06-02 09:00:00,"CS EE181",NA,NA,NA,23.65,"wx_tempavg15","1d45afaebf6de278",0,0
"134","GCW","W",2022-06-02 09:15:00,"CS EE181",NA,NA,NA,24.22,"wx_tempavg15","56bc5171ae8237e8",0,0
"135","GCW","W",2022-06-02 09:30:00,"CS EE181",NA,NA,NA,24.54,"wx_tempavg15","83da091ae9f9d561",0,0
"136","GCW","W",2022-06-02 09:45:00,"CS EE181",NA,NA,NA,24.38,"wx_tempavg15","490c24eb08a823cc",0,0
"137","GCW","W",2022-06-02 10:00:00,"CS EE181",NA,NA,NA,24.49,"wx_tempavg15","3100e0ce027a367b",0,0
"138","GCW","W",2022-06-02 10:15:00,"CS EE181",NA,NA,NA,24.88,"wx_tempavg15","8075ad0543cb385f",0,0
"139","GCW","W",2022-06-02 10:30:00,"CS EE181",NA,NA,NA,25.44,"wx_tempavg15","903b7a728d3dae21",0,0
"140","GCW","W",2022-06-02 10:45:00,"CS EE181",NA,NA,NA,25.63,"wx_tempavg15","380133d7b4a6ed7d",0,0
"141","GCW","W",2022-06-02 11:00:00,"CS EE181",NA,NA,NA,25.85,"wx_tempavg15","0e5ea744942e7f41",0,0
"142","GCW","W",2022-06-02 11:15:00,"CS EE181",NA,NA,NA,26.08,"wx_tempavg15","76e1dfeb8628ed0d",0,0
"143","GCW","W",2022-06-02 11:30:00,"CS EE181",NA,NA,NA,26.66,"wx_tempavg15","b9e01bc0bb8244cc",0,0
"144","GCW","W",2022-06-02 11:45:00,"CS EE181",NA,NA,NA,26.64,"wx_tempavg15","0e0b43e6fd3a1778",0,0
"145","GCW","W",2022-06-02 12:00:00,"CS EE181",NA,NA,NA,26.78,"wx_tempavg15","0074d91da1184efb",0,0
"146","GCW","W",2022-06-02 12:15:00,"CS EE181",NA,NA,NA,27.15,"wx_tempavg15","ad2f8afb150cb662",0,0
"147","GCW","W",2022-06-02 12:30:00,"CS EE181",NA,NA,NA,27.13,"wx_tempavg15","748b1783c2e4fc25",0,0
"148","GCW","W",2022-06-02 12:45:00,"CS EE181",NA,NA,NA,26.99,"wx_tempavg15","049d10dc174bcd40",0,0
"149","GCW","W",2022-06-02 13:00:00,"CS EE181",NA,NA,NA,26.88,"wx_tempavg15","19925cf12ce77fc5",0,0
"150","GCW","W",2022-06-02 13:15:00,"CS EE181",NA,NA,NA,26.9,"wx_tempavg15","dbf4ca498be3d676",0,0
"151","GCW","W",2022-06-02 13:30:00,"CS EE181",NA,NA,NA,27.26,"wx_tempavg15","c96ea836ef1647e3",0,0
"152","GCW","W",2022-06-02 13:45:00,"CS EE181",NA,NA,NA,27.18,"wx_tempavg15","0da522161cc5959d",0,0
"153","GCW","W",2022-06-02 14:00:00,"CS EE181",NA,NA,NA,26.76,"wx_tempavg15","d7edff88ffe63126",0,0
"154","GCW","W",2022-06-02 14:15:00,"CS EE181",NA,NA,NA,25.42,"wx_tempavg15","a8a8f617adefdfe1",0,0
"155","GCW","W",2022-06-02 14:30:00,"CS EE181",NA,NA,NA,22.15,"wx_tempavg15","fef8dbdcef8b90e6",0,0
"156","GCW","W",2022-06-02 14:45:00,"CS EE181",NA,NA,NA,21.48,"wx_tempavg15","ff70747ccc619a30",0,0
"157","GCW","W",2022-06-02 15:00:00,"CS EE181",NA,NA,NA,21.85,"wx_tempavg15","bbbc53c461476911",0,0
"158","GCW","W",2022-06-02 15:15:00,"CS EE181",NA,NA,NA,22.04,"wx_tempavg15","9ffcfc01a0d9ef28",0,0
"159","GCW","W",2022-06-02 15:30:00,"CS EE181",NA,NA,NA,22.5,"wx_tempavg15","612db658f5565bed",0,0
"160","GCW","W",2022-06-02 15:45:00,"CS EE181",NA,NA,NA,22.62,"wx_tempavg15","08e709f97cc66463",0,0
"161","GCW","W",2022-06-02 16:00:00,"CS EE181",NA,NA,NA,22.62,"wx_tempavg15","2167642f743b0328",0,0
"162","GCW","W",2022-06-02 16:15:00,"CS EE181",NA,NA,NA,22.21,"wx_tempavg15","4d168c699b202014",0,0
"163","GCW","W",2022-06-02 16:30:00,"CS EE181",NA,NA,NA,21.48,"wx_tempavg15","0eff97fb655bd0a6",0,0
"164","GCW","W",2022-06-02 16:45:00,"CS EE181",NA,NA,NA,20.77,"wx_tempavg15","57e60a888be893e5",0,0
"165","GCW","W",2022-06-02 17:00:00,"CS EE181",NA,NA,NA,20.54,"wx_tempavg15","55b7e3331275f8df",0,0
"166","GCW","W",2022-06-02 17:15:00,"CS EE181",NA,NA,NA,20.4,"wx_tempavg15","a5b5c82a52cdcfb2",0,0
"167","GCW","W",2022-06-02 17:30:00,"CS EE181",NA,NA,NA,20.4,"wx_tempavg15","e69180bbc4ed1102",0,0
"168","GCW","W",2022-06-02 17:45:00,"CS EE181",NA,NA,NA,20.46,"wx_tempavg15","d8456473505e0cdc",0,0
"169","GCW","W",2022-06-02 18:00:00,"CS EE181",NA,NA,NA,20.46,"wx_tempavg15","d71c6bcb6d403cdb",0,0
"170","GCW","W",2022-06-02 18:15:00,"CS EE181",NA,NA,NA,20.46,"wx_tempavg15","584b977741ed2262",0,0
"171","GCW","W",2022-06-02 18:30:00,"CS EE181",NA,NA,NA,20.66,"wx_tempavg15","1db32ab3919913b1",0,0
"172","GCW","W",2022-06-02 18:45:00,"CS EE181",NA,NA,NA,20.83,"wx_tempavg15","9ece23f2a5982875",0,0
"173","GCW","W",2022-06-02 19:00:00,"CS EE181",NA,NA,NA,20.87,"wx_tempavg15","08355dd97943fa68",0,0
"174","GCW","W",2022-06-02 19:15:00,"CS EE181",NA,NA,NA,20.83,"wx_tempavg15","2773435f2e1e4188",0,0
"175","GCW","W",2022-06-02 19:30:00,"CS EE181",NA,NA,NA,20.69,"wx_tempavg15","3a5a22bacfd36cfd",0,0
"176","GCW","W",2022-06-02 19:45:00,"CS EE181",NA,NA,NA,20.66,"wx_tempavg15","ca4ca71d3fe5e91a",0,0
"177","GCW","W",2022-06-02 20:00:00,"CS EE181",NA,NA,NA,20.52,"wx_tempavg15","88c940437b479fbe",0,0
"178","GCW","W",2022-06-02 20:15:00,"CS EE181",NA,NA,NA,20.44,"wx_tempavg15","a1596ddf6f56f3f5",0,0
"179","GCW","W",2022-06-02 20:30:00,"CS EE181",NA,NA,NA,20.43,"wx_tempavg15","22c4d2958a982c77",0,0
"180","GCW","W",2022-06-02 20:45:00,"CS EE181",NA,NA,NA,20.46,"wx_tempavg15","0921707686ebad22",0,0
"181","GCW","W",2022-06-02 21:00:00,"CS EE181",NA,NA,NA,20.52,"wx_tempavg15","e903b6496baaf702",0,0
"182","GCW","W",2022-06-02 21:15:00,"CS EE181",NA,NA,NA,20.52,"wx_tempavg15","7996c39986dd8d39",0,0
"183","GCW","W",2022-06-02 21:30:00,"CS EE181",NA,NA,NA,20.53,"wx_tempavg15","53d193d547d1d405",0,0
"184","GCW","W",2022-06-02 21:45:00,"CS EE181",NA,NA,NA,20.58,"wx_tempavg15","38287b03ebfe3bd2",0,0
"185","GCW","W",2022-06-02 22:00:00,"CS EE181",NA,NA,NA,20.67,"wx_tempavg15","9934e5ad60c0bc6b",0,0
"186","GCW","W",2022-06-02 22:15:00,"CS EE181",NA,NA,NA,20.71,"wx_tempavg15","bdbd566ec3d8f4c2",0,0
"187","GCW","W",2022-06-02 22:30:00,"CS EE181",NA,NA,NA,20.95,"wx_tempavg15","2d8061e7b7ccee9d",0,0
"188","GCW","W",2022-06-02 22:45:00,"CS EE181",NA,NA,NA,21.1,"wx_tempavg15","026bd4d6f6da8434",0,0
"189","GCW","W",2022-06-02 23:00:00,"CS EE181",NA,NA,NA,21.21,"wx_tempavg15","6443e6eba105cdb5",0,0
"190","GCW","W",2022-06-02 23:15:00,"CS EE181",NA,NA,NA,21.29,"wx_tempavg15","36c83787a53f2448",0,0
"191","GCW","W",2022-06-02 23:30:00,"CS EE181",NA,NA,NA,21.25,"wx_tempavg15","6cd88888cbb9b594",0,0
"192","GCW","W",2022-06-02 23:45:00,"CS EE181",NA,NA,NA,21.24,"wx_tempavg15","369b1c51074ce0f8",0,0
"193","GCW","W",2022-06-03,"CS EE181",NA,NA,NA,21.18,"wx_tempavg15","e4f8d19a7d114c7c",0,0
"194","GCW","W",2022-06-03 00:15:00,"CS EE181",NA,NA,NA,21.13,"wx_tempavg15","6b0e0100b4f3de1f",0,0
"195","GCW","W",2022-06-03 00:30:00,"CS EE181",NA,NA,NA,21.11,"wx_tempavg15","0b2aa166294e8ce5",0,0
"196","GCW","W",2022-06-03 00:45:00,"CS EE181",NA,NA,NA,20.99,"wx_tempavg15","2ddd97379cdf1c6b",0,0
"197","GCW","W",2022-06-03 01:00:00,"CS EE181",NA,NA,NA,20.98,"wx_tempavg15","2d927bf50edc588d",0,0
"198","GCW","W",2022-06-03 01:15:00,"CS EE181",NA,NA,NA,20.93,"wx_tempavg15","f2382d9849c16524",0,0
"199","GCW","W",2022-06-03 01:30:00,"CS EE181",NA,NA,NA,20.87,"wx_tempavg15","52797305ccfce39e",0,0
"200","GCW","W",2022-06-03 01:45:00,"CS EE181",NA,NA,NA,20.83,"wx_tempavg15","2f6b2e3193caadc4",0,0
"201","GCW","W",2022-06-03 02:00:00,"CS EE181",NA,NA,NA,20.72,"wx_tempavg15","4dd3d1b0a00ab52a",0,0
"202","GCW","W",2022-06-03 02:15:00,"CS EE181",NA,NA,NA,20.57,"wx_tempavg15","70e1909c46989d5c",0,0
"203","GCW","W",2022-06-03 02:30:00,"CS EE181",NA,NA,NA,20.3,"wx_tempavg15","8fecbcb9e714f911",0,0
"204","GCW","W",2022-06-03 02:45:00,"CS EE181",NA,NA,NA,20.52,"wx_tempavg15","300ee36afbc7ab2b",0,0
